sale_id,customer_id,item_name,quantity,unit_price,total_price,sale_date
1,168,Combo Set B,1,320,320,2026-08-01 00:00:00
2,32,Water,3,30,90,2026-08-01 01:00:00
3,165,Soda (L),3,80,240,2026-08-01 02:00:00
4,86,Popcorn Sweet,1,120,120,2026-08-01 03:00:00
5,98,Water,2,30,60,2026-08-01 04:00:00
6,91,Popcorn Sweet,2,120,240,2026-08-01 05:00:00
7,121,Soda (M),1,60,60,2026-08-01 06:00:00
8,188,Soda (L),2,80,160,2026-08-01 07:00:00
9,57,Combo Set A,2,250,500,2026-08-01 08:00:00
10,107,Water,1,30,30,2026-08-01 09:00:00
11,186,Popcorn Original,3,100,300,2026-08-01 10:00:00
12,195,Water,1,30,30,2026-08-01 11:00:00
13,22,Combo Set A,1,250,250,2026-08-01 12:00:00
14,186,Soda (M),1,60,60,2026-08-01 13:00:00
15,112,Popcorn Sweet,1,120,120,2026-08-01 14:00:00
16,85,Soda (M),1,60,60,2026-08-01 15:00:00
17,80,Popcorn Cheese,3,120,360,2026-08-01 16:00:00
18,73,Soda (L),2,80,160,2026-08-01 17:00:00
19,77,Popcorn Original,1,100,100,2026-08-01 18:00:00
20,74,Popcorn Sweet,3,120,360,2026-08-01 19:00:00
21,127,Soda (M),1,60,60,2026-08-01 20:00:00
22,177,Popcorn Original,3,100,300,2026-08-01 21:00:00
23,121,Soda (L),2,80,160,2026-08-01 22:00:00
24,85,Combo Set A,3,250,750,2026-08-01 23:00:00
25,177,Popcorn Original,3,100,300,2026-08-02 00:00:00
26,170,Soda (L),2,80,160,2026-08-02 01:00:00
27,168,Soda (L),2,80,160,2026-08-02 02:00:00
28,199,Soda (L),3,80,240,2026-08-02 03:00:00
29,174,Soda (M),1,60,60,2026-08-02 04:00:00
30,150,Combo Set A,1,250,250,2026-08-02 05:00:00
31,82,Soda (L),2,80,160,2026-08-02 06:00:00
32,21,Popcorn Original,1,100,100,2026-08-02 07:00:00
33,179,Combo Set A,2,250,500,2026-08-02 08:00:00
34,142,Popcorn Cheese,3,120,360,2026-08-02 09:00:00
35,74,Popcorn Original,3,100,300,2026-08-02 10:00:00
36,9,Soda (M),1,60,60,2026-08-02 11:00:00
37,146,Soda (L),2,80,160,2026-08-02 12:00:00
38,13,Combo Set B,1,320,320,2026-08-02 13:00:00
39,17,Combo Set A,1,250,250,2026-08-02 14:00:00
40,126,Popcorn Cheese,3,120,360,2026-08-02 15:00:00
41,87,Soda (M),1,60,60,2026-08-02 16:00:00
42,153,Popcorn Sweet,3,120,360,2026-08-02 17:00:00
43,182,Popcorn Sweet,2,120,240,2026-08-02 18:00:00
44,16,Combo Set B,1,320,320,2026-08-02 19:00:00
45,24,Combo Set B,3,320,960,2026-08-02 20:00:00
46,75,Popcorn Sweet,1,120,120,2026-08-02 21:00:00
47,151,Popcorn Cheese,2,120,240,2026-08-02 22:00:00
48,169,Combo Set A,1,250,250,2026-08-02 23:00:00
49,103,Popcorn Original,1,100,100,2026-08-03 00:00:00
50,86,Popcorn Cheese,3,120,360,2026-08-03 01:00:00
51,161,Combo Set B,2,320,640,2026-08-03 02:00:00
52,105,Combo Set A,2,250,500,2026-08-03 03:00:00
53,42,Popcorn Cheese,2,120,240,2026-08-03 04:00:00
54,176,Combo Set A,1,250,250,2026-08-03 05:00:00
55,18,Popcorn Cheese,3,120,360,2026-08-03 06:00:00
56,191,Popcorn Sweet,1,120,120,2026-08-03 07:00:00
57,78,Water,1,30,30,2026-08-03 08:00:00
58,92,Combo Set A,1,250,250,2026-08-03 09:00:00
59,11,Combo Set A,2,250,500,2026-08-03 10:00:00
60,152,Combo Set A,3,250,750,2026-08-03 11:00:00
61,189,Popcorn Original,2,100,200,2026-08-03 12:00:00
62,192,Water,1,30,30,2026-08-03 13:00:00
63,164,Water,1,30,30,2026-08-03 14:00:00
64,126,Popcorn Cheese,3,120,360,2026-08-03 15:00:00
65,97,Popcorn Original,2,100,200,2026-08-03 16:00:00
66,53,Water,1,30,30,2026-08-03 17:00:00
67,83,Soda (L),1,80,80,2026-08-03 18:00:00
68,47,Popcorn Cheese,3,120,360,2026-08-03 19:00:00
69,52,Popcorn Cheese,1,120,120,2026-08-03 20:00:00
70,57,Popcorn Cheese,2,120,240,2026-08-03 21:00:00
71,75,Soda (L),2,80,160,2026-08-03 22:00:00
72,151,Combo Set B,1,320,320,2026-08-03 23:00:00
73,59,Soda (L),1,80,80,2026-08-04 00:00:00
74,69,Popcorn Sweet,1,120,120,2026-08-04 01:00:00
75,184,Combo Set B,3,320,960,2026-08-04 02:00:00
76,86,Soda (M),3,60,180,2026-08-04 03:00:00
77,170,Popcorn Original,2,100,200,2026-08-04 04:00:00
78,146,Soda (M),2,60,120,2026-08-04 05:00:00
79,71,Popcorn Cheese,1,120,120,2026-08-04 06:00:00
80,33,Water,1,30,30,2026-08-04 07:00:00
81,3,Popcorn Cheese,1,120,120,2026-08-04 08:00:00
82,28,Water,3,30,90,2026-08-04 09:00:00
83,1,Popcorn Sweet,3,120,360,2026-08-04 10:00:00
84,126,Combo Set A,1,250,250,2026-08-04 11:00:00
85,191,Soda (M),1,60,60,2026-08-04 12:00:00
86,113,Combo Set A,2,250,500,2026-08-04 13:00:00
87,47,Combo Set A,3,250,750,2026-08-04 14:00:00
88,37,Popcorn Cheese,1,120,120,2026-08-04 15:00:00
89,86,Soda (M),3,60,180,2026-08-04 16:00:00
90,48,Combo Set B,1,320,320,2026-08-04 17:00:00
91,108,Combo Set B,1,320,320,2026-08-04 18:00:00
92,19,Popcorn Sweet,2,120,240,2026-08-04 19:00:00
93,142,Soda (M),2,60,120,2026-08-04 20:00:00
94,195,Water,2,30,60,2026-08-04 21:00:00
95,83,Popcorn Original,1,100,100,2026-08-04 22:00:00
96,65,Combo Set A,2,250,500,2026-08-04 23:00:00
97,26,Combo Set B,1,320,320,2026-08-05 00:00:00
98,138,Popcorn Sweet,3,120,360,2026-08-05 01:00:00
99,99,Soda (M),3,60,180,2026-08-05 02:00:00
100,77,Popcorn Cheese,1,120,120,2026-08-05 03:00:00
101,70,Soda (L),2,80,160,2026-08-05 04:00:00
102,43,Soda (L),2,80,160,2026-08-05 05:00:00
103,70,Popcorn Sweet,3,120,360,2026-08-05 06:00:00
104,200,Combo Set B,1,320,320,2026-08-05 07:00:00
105,59,Soda (L),1,80,80,2026-08-05 08:00:00
106,3,Combo Set B,1,320,320,2026-08-05 09:00:00
107,133,Popcorn Original,3,100,300,2026-08-05 10:00:00
108,85,Popcorn Sweet,3,120,360,2026-08-05 11:00:00
109,95,Popcorn Cheese,2,120,240,2026-08-05 12:00:00
110,78,Popcorn Cheese,1,120,120,2026-08-05 13:00:00
111,101,Popcorn Sweet,1,120,120,2026-08-05 14:00:00
112,83,Soda (L),1,80,80,2026-08-05 15:00:00
113,165,Soda (L),1,80,80,2026-08-05 16:00:00
114,84,Popcorn Cheese,3,120,360,2026-08-05 17:00:00
115,180,Popcorn Original,2,100,200,2026-08-05 18:00:00
116,194,Water,3,30,90,2026-08-05 19:00:00
117,121,Soda (L),2,80,160,2026-08-05 20:00:00
118,191,Popcorn Original,1,100,100,2026-08-05 21:00:00
119,135,Combo Set A,1,250,250,2026-08-05 22:00:00
120,53,Soda (L),1,80,80,2026-08-05 23:00:00
121,114,Water,1,30,30,2026-08-06 00:00:00
122,6,Popcorn Sweet,1,120,120,2026-08-06 01:00:00
123,135,Soda (M),3,60,180,2026-08-06 02:00:00
124,172,Popcorn Cheese,2,120,240,2026-08-06 03:00:00
125,18,Popcorn Sweet,3,120,360,2026-08-06 04:00:00
126,54,Soda (L),1,80,80,2026-08-06 05:00:00
127,127,Water,2,30,60,2026-08-06 06:00:00
128,157,Popcorn Cheese,2,120,240,2026-08-06 07:00:00
129,25,Soda (M),1,60,60,2026-08-06 08:00:00
130,63,Soda (M),2,60,120,2026-08-06 09:00:00
131,196,Water,3,30,90,2026-08-06 10:00:00
132,115,Water,3,30,90,2026-08-06 11:00:00
133,141,Soda (L),3,80,240,2026-08-06 12:00:00
134,160,Popcorn Cheese,3,120,360,2026-08-06 13:00:00
135,155,Combo Set A,2,250,500,2026-08-06 14:00:00
136,51,Combo Set A,3,250,750,2026-08-06 15:00:00
137,162,Combo Set B,2,320,640,2026-08-06 16:00:00
138,28,Soda (L),1,80,80,2026-08-06 17:00:00
139,73,Soda (M),3,60,180,2026-08-06 18:00:00
140,72,Popcorn Sweet,1,120,120,2026-08-06 19:00:00
141,85,Popcorn Sweet,3,120,360,2026-08-06 20:00:00
142,110,Popcorn Original,1,100,100,2026-08-06 21:00:00
143,30,Soda (M),1,60,60,2026-08-06 22:00:00
144,9,Combo Set A,1,250,250,2026-08-06 23:00:00
